iter	Passed	Remaining
0	25	25020
1	50	25104
2	76	25450
3	97	24355
4	123	24609
5	148	24525
6	175	24953
7	198	24569
8	219	24126
9	243	24146
10	269	24249
11	295	24315
12	318	24191
13	345	24301
14	371	24380
15	395	24326
16	424	24549
17	449	24541
18	477	24652
19	503	24661
20	529	24677
21	556	24735
22	574	24393
23	593	24140
24	617	24075
25	642	24087
26	666	24029
27	691	24021
28	721	24146
29	748	24204
30	773	24185
31	799	24181
32	815	23898
33	841	23899
34	865	23874
35	889	23820
36	917	23868
37	949	24029
38	976	24064
39	1002	24052
40	1031	24138
41	1064	24289
42	1088	24224
43	1116	24259
44	1140	24203
45	1166	24197
46	1192	24176
47	1217	24149
48	1242	24123
49	1268	24093
50	1297	24151
51	1323	24119
52	1346	24066
53	1373	24068
54	1400	24068
55	1427	24059
56	1450	23996
57	1473	23937
58	1500	23936
59	1520	23822
60	1543	23758
61	1569	23740
62	1586	23595
63	1613	23598
64	1634	23506
65	1655	23431
66	1680	23402
67	1705	23376
68	1730	23345
69	1751	23265
70	1776	23239
71	1801	23213
72	1824	23168
73	1849	23149
74	1870	23066
75	1894	23029
76	1919	23004
77	1944	22980
78	1970	22973
79	1994	22932
80	2017	22892
81	2045	22896
82	2071	22889
83	2094	22841
84	2118	22807
85	2145	22801
86	2176	22845
87	2201	22812
88	2225	22780
89	2252	22771
90	2277	22750
91	2302	22726
92	2320	22632
93	2346	22617
94	2372	22603
95	2397	22578
96	2424	22572
97	2450	22555
98	2477	22547
99	2502	22521
100	2523	22462
101	2545	22414
102	2574	22419
103	2598	22388
104	2625	22377
105	2652	22368
106	2677	22345
107	2698	22285
108	2724	22270
109	2751	22262
110	2779	22262
111	2805	22244
112	2830	22214
113	2856	22198
114	2883	22190
115	2909	22171
116	2933	22138
117	2953	22072
118	2978	22051
119	3002	22019
120	3022	21957
121	3048	21937
122	3071	21900
123	3096	21872
124	3123	21864
125	3150	21851
126	3175	21825
127	3203	21822
128	3221	21752
129	3245	21721
130	3268	21682
131	3293	21654
132	3320	21643
133	3346	21624
134	3372	21606
135	3392	21549
136	3414	21506
137	3439	21486
138	3464	21462
139	3490	21443
140	3519	21440
141	3547	21433
142	3573	21413
143	3600	21400
144	3626	21383
145	3651	21361
146	3681	21364
147	3706	21340
148	3729	21299
149	3755	21279
150	3779	21249
151	3805	21230
152	3831	21208
153	3855	21180
154	3879	21149
155	3905	21131
156	3932	21116
157	3954	21073
158	3980	21053
159	4008	21043
160	4034	21024
161	4055	20980
162	4074	20922
163	4101	20905
164	4126	20882
165	4152	20863
166	4179	20849
167	4204	20820
168	4228	20792
169	4252	20762
170	4277	20738
171	4302	20712
172	4330	20699
173	4358	20691
174	4384	20670
175	4413	20662
176	4439	20642
177	4468	20635
178	4494	20616
179	4515	20570
180	4542	20552
181	4568	20534
182	4595	20516
183	4620	20489
184	4645	20465
185	4671	20442
186	4697	20421
187	4724	20404
188	4754	20401
189	4780	20379
190	4807	20362
191	4832	20337
192	4860	20322
193	4888	20308
194	4916	20295
195	4940	20266
196	4966	20243
197	4992	20221
198	5015	20189
199	5041	20165
200	5066	20141
